start_date,from_station_name,trips,rank
2019-10-01,Canal St & Adams St,401,1
2019-10-01,Clinton St & Madison St,294,2
2019-10-01,Clinton St & Washington Blvd,282,3
2019-10-02,Canal St & Adams St,237,1
2019-10-02,Clinton St & Madison St,171,2
2019-10-02,Clinton St & Washington Blvd,163,3
2019-10-03,Canal St & Adams St,363,1
2019-10-03,Clinton St & Madison St,285,2
2019-10-03,Clinton St & Washington Blvd,255,3
2019-10-04,Canal St & Adams St,280,1
2019-10-04,Clinton St & Madison St,229,2
2019-10-04,Clinton St & Washington Blvd,201,3
2019-10-05,Streeter Dr & Grand Ave,242,1
2019-10-05,Lake Shore Dr & Monroe St,239,2
2019-10-05,Millennium Park,139,3
2019-10-06,Streeter Dr & Grand Ave,369,1
2019-10-06,Lake Shore Dr & Monroe St,353,2
2019-10-06,Dusable Harbor,170,3
2019-10-07,Canal St & Adams St,367,1
2019-10-07,Clinton St & Washington Blvd,294,2
2019-10-07,Clinton St & Madison St,280,3
2019-10-08,Canal St & Adams St,365,1
2019-10-08,Clinton St & Madison St,292,2
2019-10-08,Clinton St & Washington Blvd,282,3
2019-10-09,Canal St & Adams St,365,1
2019-10-09,Clinton St & Madison St,304,2
2019-10-09,Clinton St & Washington Blvd,283,3
2019-10-10,Canal St & Adams St,332,1
2019-10-10,Clinton St & Madison St,275,2
2019-10-10,Clinton St & Washington Blvd,244,3
2019-10-11,Canal St & Adams St,141,1
2019-10-11,Clinton St & Washington Blvd,133,2
2019-10-11,Clinton St & Madison St,128,3
2019-10-12,Streeter Dr & Grand Ave,210,1
2019-10-12,Lake Shore Dr & Monroe St,155,2
2019-10-12,Michigan Ave & Oak St,88,3
2019-10-13,Lake Shore Dr & Monroe St,194,1
2019-10-13,Streeter Dr & Grand Ave,171,2
2019-10-13,Millennium Park,131,3
2019-10-14,Streeter Dr & Grand Ave,313,1
2019-10-14,Canal St & Adams St,263,2
2019-10-14,Lake Shore Dr & Monroe St,220,3
2019-10-15,Canal St & Adams St,285,1
2019-10-15,Clinton St & Madison St,243,2
2019-10-15,Clinton St & Washington Blvd,230,3
2019-10-16,Canal St & Adams St,308,1
2019-10-16,Clinton St & Madison St,244,2
2019-10-16,Clinton St & Washington Blvd,208,3
2019-10-17,Canal St & Adams St,312,1
2019-10-17,Clinton St & Madison St,220,2
2019-10-17,Clinton St & Washington Blvd,216,3
2019-10-18,Canal St & Adams St,240,1
2019-10-18,Clinton St & Madison St,215,2
2019-10-18,Lake Shore Dr & Monroe St,211,3
2019-10-19,Streeter Dr & Grand Ave,469,1
2019-10-19,Lake Shore Dr & Monroe St,380,2
2019-10-19,Michigan Ave & Oak St,181,3
2019-10-20,Streeter Dr & Grand Ave,197,1
2019-10-20,Lake Shore Dr & Monroe St,196,2
2019-10-20,Shedd Aquarium,145,3
2019-10-21,Canal St & Adams St,292,1
2019-10-21,Clinton St & Washington Blvd,219,2
2019-10-21,Clinton St & Madison St,209,3
2019-10-22,Canal St & Adams St,265,1
2019-10-22,Clinton St & Madison St,216,2
2019-10-22,Clinton St & Washington Blvd,186,3
2019-10-23,Canal St & Adams St,285,1
2019-10-23,Clinton St & Washington Blvd,226,2
2019-10-23,Clinton St & Madison St,226,3
2019-10-24,Canal St & Adams St,293,1
2019-10-24,Clinton St & Madison St,231,2
2019-10-24,Clinton St & Washington Blvd,210,3
2019-10-25,Canal St & Adams St,228,1
2019-10-25,Clinton St & Madison St,193,2
2019-10-25,Clinton St & Washington Blvd,182,3
